review,review_ko,emotion_label,emotion_score,label,sentiment
"Ms Aparna Sen, the maker of Mr & Mrs Iyer, directs this movie about a young girl's struggle to cope with her debilitating condition.  Meethi (Konkona Sen) has been an aloof kid ever since childhood and has shown signs of delusion, no one knows why. The dormant tendency however slips out of control, when the job assignment takes her to neighboring Bihar where she's raped by some political goons. The resulting trauma also leads to episodes of manic-depressive psychosis in addition to her schizophrenia. She careens out of control over the years, progressively getting worse and sinking deeper into her private 'world'.  The juxtaposition of an 'unsettled' (divorced) elder sister and how her domineering ways make an already bad situation worse, is indicative of what a fine line there is between abnormal and *seemingly normal*. Ms Sen also makes an excellent commentary on the social alienation of such individuals. Social rehab is standard therapy along with all the deadly mind-altering drugs. But what about the poor and the destitute, who're always left to fend for themselves and usually fall by the wayside?  The romantic connection between Dr Kunal and Anu was unnecessary. Also the cafeteria scene where Dr Kunal explains to Anu how real their world really is to them, was redundant. Anu should already know all that. The English dialog is a bit awkward at times though the acting compensates for that. Konkona and Shabana prove that their reputation is every bit worth it. Waheeda, Rahul and Shefali play their limited roles very well.   Extensive research seems to have been done about this illness, its very evident. But its not clear if MDP can coexist with schizophrenia in the same patient, side-by-side. Also in the early part, Dr Kunal recommends E.C.T (shock therapy) while invalidating the fact that it doesn't work for schizophrenics, only for extreme MDP with suicidal tendencies and other forms of bipolar disorder.  The ending of the remarkable story is suggestive of an unknown solution (maybe no solution). The movie could have ended on a nicer note, since worldwide the mentally ill can and do lead balanced and fruitful if not very fulfilling, lives under good medical care.  Nonetheless, its an excellent film made with extreme sensitivity to the subject. HATS OFF to Ms Sen! No one in India could've done it better.","미스터 & 미스 아이어의 제작자 아파르나 센이 이 영화를 감독하고 있는데, 이 영화는 어린 소녀가 자신의 약해지는 상태를 극복하기 위해 고군분투하는 이야기를 담고 있다. 미티 (콘코나 센) 는 어린 시절부터 외로운 아이이며 왜인지 알 수 없는 환상의 징후를 보이고 있다. 그러나 잠자는 경향은 통제를 벗어납니다. 직무 임무가 그녀를 이웃 빌라로 데려갈 때 그녀는 일부 정치범들에 의해 강간됩니다. 이로 인한 트라우마는 그녀의 정신 분열증 외에도 마니아 우울증 정신병의 에피소드로도 이어집니다.",neutral,0.535457193851471,0,중립 (Neutral)
"I have seen this film only once, on TV, and it has not been repeated. This is strange when you consider the rubbish that is repeated over and over again. Usually horror movies for me are a source of amusement, but this one really scared me.  DO NOT READ THE NEXT BIT IF YOU HAVE'NT SEEN THE FILM YET  The scariest bit is when the townsfolk pursue the preacher to where his wife lies almost dead (they'd been poisoning her). He asks who the hell are you people anyway. One by one they give their true identities. The girl who was pretending to be deaf in order to corrupt and seduce him says 'I am Lilith, the witch who loved Adam before Eve'.","이 영화는 TV에서 한 번만 봤는데, 반복되지 않았습니다. 반복적으로 반복되는 쓰레기를 고려할 때 이상합니다. 보통 공포 영화들은 저에게 재미의 원천이지만, 이 영화는 정말로 저를 겁주었습니다. 이 영화를 본 적이 없다면 NEXT BIT을 읽지 마십시오. 가장 무서운 부분은 마을 사람들이 설교자를 그의 아내가 거의 죽은 곳에 쫓는 때입니다. (그들은 그녀를 독해하고 있었다). 그는 어쨌든 여러분들은 누구냐고 묻습니다. 하나씩 그들은 그들의 진정한 정체성을 알려줍니다. ",fear,0.8338276743888855,0,부정 (Negative)
"I was only fourteen when I first saw the Alien movies and I immediately came to like it. Original, terrifying and classic. Sigourney Weaver was the perfect choice for the female hero character and she would have deserved a statuette for her act. In 1979 something everlasting was born than the immortal series continued with a nothing less legendary movie than the first. Alien3 was a different point of view but I think this part was the most stressful and unique of all, this was my favourite. Unfortunately the last one was a failure in many ways. It was strained, illogical with full of meaningless massacres. I didn't like it at all, but I never thought that a worse part would ever be made in the future. Well as it turned out in 2004 I was wrong. Alien vs. Predator was a bad break, and it should have been directed by a more talented director or should have never been made at all. But when I saw Alien vs Predator Requiem I was totally shocked moreover devastated. When I sat down and decided to watch it with full of doubt, even than I had never thought that such a bad movie could be made. Without a screenplay, without a director and without actors I don't understand how can a film be made. Because this film misses these three terms. What you get is a nice massacre show without a story but with a lot of annoying and boring dialogues. Waste of money and waste of time. This movie is rather impudence, than honor to the fans of the both sides (Alien/Predator). Shame!","저는 14살 때 처음 외계인 영화를 보았고 즉시 그것을 좋아하게 되었습니다. 오리지널, 무서운, 고전적. 시고어니 위버는 여성 영웅 캐릭터에 대한 완벽한 선택이었고 그녀는 그녀의 행위에 대한 조각상을 받을 자격이 있었을 것입니다. 1979년에 불멸의 시리즈보다 영원한 무언가가 태어났습니다. 첫 번째 영화보다 덜 전설적인 영화로 계속되었습니다. 외계인3는 다른 관점이었지만 이 부분은 모든 것 중 가장 스트레스가 많고 독특하다고 생각합니다. 불행히도 이 작품은 제가 가장 좋아하는 작품이었습니다.",admiration,0.5745936632156372,1,긍정 (Positive)
"This marvelous short will hit home with everyone who, as a child, specifically asked for something because it was hip or cool, only to be given something that would mark you for life with your peers and were told by your Mom or Dad (or both) that it didn't matter, as you earnestly began considering enlisting in a Witness Protection Program in order to avoid ridicule. For those U.S. residents who don't get the horror because you don't follow hockey, it's like a Dallas Cowboy fan getting a Washington Redskins jersey or a Yankees fan getting a Red Sox jersey. It isn't pretty. For our European friends, think of two great rival football (soccer to us) clubs and imagine a fan of one getting a jersey from the other. Ouch!!! NFB of C outdid themselves here!  Une hommage du Maurice 'Rocket' Richard, merci, M. Richard.","이 멋진 단편은 어린시절에 특별히 hip이나 cool이었기 때문에 무언가를 요청한 모든 사람들을 만나게 될 것입니다. 그리고 당신의 엄마나 아빠 (또는 둘 다) 이 당신에게 평생 동안 당신의 동료들과 함께 표시되는 것을 주었을 때, 그것은 중요하지 않다는 것을 말해주었습니다. 당신은 진지하게 조롱을 피하기 위해 증인 보호 프로그램에 가입하는 것을 고려하기 시작했습니다. 호키를 따르지 않기 때문에 공포를 느끼지 않는 미국 거주자에게는, 그것은 워싱턴 레드스킨스 팬을 얻는 댈러스 카우보이 팬과 같습니다.",neutral,0.872804582118988,0,중립 (Neutral)
"If you are 10 years old and never seen a movie before, maybe this film may be entertainment for you, but if you've seen several movies, this one will be a silly fully-cliched cheap and predictable for you. Don't waste your time with this.","만약 여러분이 10살이고 이전에 영화를 본 적이 없다면, 이 영화는 여러분들의 엔터테인먼트가 될 수도 있지만, 여러 영화를 본 적이 있다면, 이 영화는 여러분들께 완전히 유행하고 예측할 수 있는 멍청한 영화가 될 것입니다. 이것으로 시간을 낭비하지 마세요.",caring,0.3987976908683777,1,긍정 (Positive)
"Casting Jack Cassidy as Ken Frankin was sheer brilliance. Cassidy personified arrogance, confidence, charm and wit - all with a condescending, evil little smirk on his face. In my opinion, Jack Cassidy is by far the best murderer (having appeared three times) in the Columbo series. This particular (and first) performance, is my favorite Columbo episode ever - hands down. A fresh faced Steven Spielberg did amazing camera work (yes, there were a couple of camera shadows on the actors at times)capturing the nuances and banter at different and intriguing angles between Columbo and Franklin. Also, the panoramic and tight in shots at Big Bear Lake, CA (Franklin's cabin home) were very impressive.  If you have not yet seen this episode, then you owe it to yourself to do so - it's a true masterpiece.  Jack Cassidy was a very talented actor and singer. His charismatic personality was highly infectious. His death in 1976, at age 49 was very sad and indeed very tragic - he surely had his best years ahead of him. Rest in Peace Jack, you will live on for eternity through your great work.","케인 프랭킨 역으로 잭 카시디를 캐스팅하는 것은 순수한 재능을 보여주었다. 카시디는 자부심, 자신감, 매력, 지능을 personified - 모두 그의 얼굴에 굴욕적이고 악의 작은 미소로. 내 의견으로, 잭 카시디는 콜롬보 시리즈에서 가장 훌륭한 살인자 (세 번 출연) 이다. 이 특정 (그리고 첫 번째) 공연은 나의 가장 좋아하는 콜롬보 에피소드입니다 - 손을 내려. 신선한 얼굴 스티븐 스필버그는 놀라운 카메라 작업을했습니다 (예, 배우에 몇 가지 카메라 그림자가 있었다 때)",admiration,0.9384876489639282,0,긍정 (Positive)
"This excellent series, narrated by Laurence Olivier, brilliantly, it should be said, charts the beginning to the end of World War 2. The origins are not entirely examined fully from Germany's fall at the hands of the Versailles treaty which helped propel Hitler's demonic rise, but as one reviewer says, that must be hard to do, in a 26-part series with so much to cram in.   Apart from the expected combat photography/action, there are plenty of personal, emotional and human tragedies that are told giving the viewer an amazing insight, especially if you're not necessarily a World War 2 buff/fan. Episodes showing 'testimonies' and what life was like on the home front of the main allies/adversary, Britain, Germany, Japan, Russia and the U.S.A. were quite eye-opening. Showing the extreme savagery of the war on the frontline and of course the sufferings of civilians, the death camps etc., were very well handled and exposed. I'd fully recommend this in any history class for the younger generation (Of which it could be said I am one at 47!).  Certain things are quite strangely left out, like the advent of the new jet era beginning, with Frank Whittle's experimental Gloster jet and the Gloster Meteor's combat debut as well as that of the German Messerschmitt Me 262 - especially as the V-1 was seen making its debut and there was surprisingly smaller mention of the V2. This is probably a small oversight, not referring to the more sensational secret and fantastic weapons which WW2 brought forward from a more barren old science. But a great series that made its mark and has done so ever since when thankfully repeated.   A series to own as a box set in history terms, on DVD for anyone especially who happens to be a military fan. Jeremy Isaacs and Thames TV should be well proud.","로렌스 올리비에 의해 전해지는 이 훌륭한 시리즈는 2차 세계 대전의 시작과 끝을 훌륭하게 묘사하고 있습니다. 베르사유 조약에 의해 히틀러의 악마적 상승을 촉진시키는 데 도움이 된 독일의 몰락 이후의 기원은 완전히 조사되지 않습니다. 그러나 한 평론가에 따르면, 그것은 26부 시리즈로 이루어지기 어려울 것입니다. 예상되는 전투 사진 / 액션 이외에도, 많은 개인적, 감정적 및 인간적인 비극이 있습니다.",admiration,0.6351451873779297,0,긍정 (Positive)
"A family traveling for their daughter's softball league decide to take the 'scenic route' and end up in the middle of nowhere. The father is an avid photographer, and when he hears of an old abandoned side show in the town, he decides to take another detour to take some photographs.  Of course, the side show is filled with inbred freaks, who promptly kidnap the women and leave the young son and father to fend for themselves.  The only cool thing about this film is how the family actually fights back against their inbred captors. Other than that, there's nothing worthwhile about the film.","딸의 소프트볼 리그를 여행하는 한 가족이 '스케니크 루트'를 택하고 아무데도 끝나는 것을 결정합니다. 아버지는 열정적인 사진가이며, 마을에서 오래된 버려진 사이드 쇼를 듣고, 그는 사진을 찍기 위해 또 다른 경로를 택하기로 결정합니다. 물론 사이드 쇼는 종속 괴물들로 가득합니다. 그들은 즉시 여성을 납치하고 어린 아들과 아버지를 스스로 돌볼 수 있도록 남겨두고 있습니다. 이 영화에 대한 유일한 멋진 것은 가족이 실제로 어떻게 싸우는지입니다.",neutral,0.5032825469970703,1,중립 (Neutral)
"This review contains spoilers. I didn't have any expectations about this movie. I pulled it off the video store rack with the movie, 'White Noise'.  First, the credits for this stupid movie run about 5 minutes into it. The pacing from start to finish is slooooow. The main heroines don't like to wear a bra and the director appears to enjoy the jiggle effect as Anna Paquin descends the stairs. If you like movies for boobies, this one has a low level buzz factor.  Second, it's nice that the movie rips off elements of Lovecraft and other horror genre mechanisms, but in better movies, there is at least some rational or consistently irrational behavior. This stinker tries to establish some sense of modernity and reality but then you have situations where no one calls the police even though they've uncovered a treasure trove of potentially incriminating forensic evidence, and otherworldly rituals are nicely spelled out in a comprehensive book on otherworldly rituals like on Buffy. I was waiting for Miles to show up and give some consultation on how to slay a certain demon type of so and so.  The premise is that it is possible to open up an age of Darkness where creatures that crawl on the ceiling can cut your throat or turn the meat grinder effect on you. Ho hum. To do this you need to have a sacrificial circle and then have seven kids who must have their throat cuts by people who love them. This opens the world to the age of Darkness. At least that's what it says in complete detail in the book of ancient occult rituals. Which raises the annoying question of, uh, well, how did the ones who wrote the book know, and, if this is what happens, would you really leave this information in a book you can take out from the library, much less get it from a library in a world that is not covered already in Darkness, an age brought on by lunatics who could have performed this like much earlier using the 'Occult Practices to Bring the World to Darkness for Dummies, 2nd Edition'? It turns out the father in the story is the 7th child, the one that ran away from the ritual 40 years ago; he was released by his father, who is the doctor/grandfather in the movie, who wanted to try the ritual with presumably, other stupid parents, who just wanted to see if dumb sh*t like this opening the world to darkness actually works. The grandpa let the father go because he 'didn't really love him'. Aduh. Stupid stupid movie written by a moronic director who appears to think he's some kind of Eurofilm Auteur. There's also a scene in the movie where the kid appears with big welts on his face and the mother grabs him and has this total lack of reaction. The whole movie is like this. People seeing really weird sh*t going on and not reacting to it in any sort of normal way. Must be bad plot and direction.  Anna Paquin does her best to play her character realistically without cracking a smirk, and she does look smashing in a halter top, but at several critical moments in the story, her character doesn't bother to call in for back up. You know, more of the same, 'I will walk into a likely demonic evil situation without any knowledge of defense or help from others carrying flashlights or firepower even though I sense impending doom.' And even dumber as it may seem, even if you bring on the age of Darkness, these creatures who make you bloody can't attack if you have a light source, but they appear as people you know, and tell you to turn off the light source. Reminds me of the video game 'Alone In The Dark'; maybe this movie is a rip off of that game's concept.  The best actors in the film are the young kid and Anna. They both die at the end. The entire family dies. The Darkness creatures lead them to their death, but really, the stupidity of the characters in the family was the main cause of death. The other adults could be interchangeable with any other actors from the Red Shoes Diaries series of fine cinema.  So to wrap up, the worst things about this movie are the stupidity of the characters in bumping around blindly in an obviously abnormal situation, the really crap plot (there is an old architect in the story who designs a house with a sacrificial altar hidden in it - the architect has suspected from the beginning there would be occult sacrifices in the house but doesn't tell anyone because, well, no real reason, they couldn't find the kids, but he didn't bother to tell authorities about the HIDDEN ROOMS which he designed into the house but he does like to hang around the house for a 40 year period because he worries about what is going on inside...derrrrh...duuuuh), the hackneyed use of scare mechanisms (more children standing around in the dark or only showing up in photographs, and blood on the wallpaper), and the egotism of the director which when you see him in the DVD features describing his crap work as a new and original rendition, makes you understand where the real horror of this movie lies.  Is it entertaining? At 2x speed on a DVD player with the subtitles turned on, it can be entertaining, until your reach the end and realize the movie is crap, otherwise it draaaaaaaags on. The cinematic equivalent of a fatty shake; the empty calories are horrid.  The movie gives the feeling the director must have seen 'The Ring' and wanted to attempt to create something similar in mood, which in this respect, the film fails miserably, and so, also, in this respect, Jaume Balagueró, it is my opinion that you suck at what you do.","이 리뷰는 스포일러를 포함하고 있습니다. 이 영화에 대한 기대는 없었습니다. '화이트 노이즈'라는 영화를 통해 비디오 스토어 래크에서 꺼냈습니다. 첫째, 이 멍청한 영화의 크레딧은 약 5분 동안 실행됩니다. 시작부터 끝까지의 속도는 느려집니다. 주요 히어로인은 브레스를 착용하지 않으며, 감독은 안나 파킨이 계단을 내려가면서 흔들림 효과를 즐기는 것처럼 보입니다. 유방 영화를 좋아하는 경우, 이 영화는 낮은 수준의 붐 인수를 가지고 있습니다. 둘째, 영화는 요소를 찢는 것이 좋습니다.",neutral,0.5154443979263306,1,중립 (Neutral)
"An unflinching descent into psychological and physical oblivion that will undoubtedly burn images of the truthful brutality and suffering of war into your cerebral cortex in a way not many other films will. In fact, there is simply no other war film like it.  Director Kon Ichikawa witnessed the unthinkable horror of Hiroshima first hand only 10 days after the bomb was dropped. He has said that from that day it would always be his mission to express the pointless, empty violence humans inflict on each other and themselves.   Mr. Ichikawa shows us that there are no winners in war... for the paths to victory and defeat are paved with the same soldiers soullessly marching down roads which only have death and destruction at their end.  Mr. Ichikawa succeeds in bringing his message to the world thru this haunting piece of cinema.","많은 영화가 할 수 없는 방식으로 전쟁의 참다운 잔인함과 고통의 이미지를 당신의 뇌피질에 불태워버릴 수 있는 심리적, 육체적 잊음으로 흔들리지 않는 하락. 사실, 다른 전쟁 영화가 없다. 감독인 콩 이치카바는 폭탄이 투하된 지 10일 후에 히로시마의 상상할 수 없는 공포를 직접 목격했다. 그는 그 날부터 인간들이 서로에게 부과하는 무의미하고 빈 폭력을 표현하는 것이 항상 그의 임무가 될 것이라고 말했다.",neutral,0.6085911393165588,0,중립 (Neutral)
